VIN,Country,City,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,2020 Census Tract
VIN00000058,Canada,São Paulo,75498,2017,CHEVROLET,Model X,BEV,Not Eligible,389,74809,37,223624,CUSTOMS WAREHOUSE,591908
VIN00000059,Canada,Mumbai,54154,2020,NISSAN,Model X,PHEV,Not Eligible,335,79438,22,444408,PORT OF TACOMA,439570
VIN00000060,France,São Paulo,83084,2014,NISSAN,Model X,BEV,Not Eligible,395,45174,16,824106,PORT OF SEATTLE,350776
VIN00000061,Germany,Paris,93062,2000,FORD,Model X,PHEV,Eligible,77,62957,31,858730,CUSTOMS WAREHOUSE,850244
VIN00000062,Mexico,São Paulo,45099,2009,BMW,Bolt,BEV,Not Eligible,209,89838,37,231411,PORT OF TACOMA,573028
VIN00000063,Russia,Moscow,22063,2016,BMW,Bolt,BEV,Eligible,219,116511,32,822255,PORT OF TACOMA,670296
VIN00000064,Brazil,São Paulo,79054,2003,CHEVROLET,Camry,BEV,Not Eligible,90,70772,44,295990,PORT OF TACOMA,262055
VIN00000065,India,São Paulo,87827,2007,CHEVROLET,Mustang,PHEV,Not Eligible,364,63164,49,998796,PORT OF TACOMA,497069
VIN00000066,UK,Toronto,89327,2022,FORD,Mustang,PHEV,Not Eligible,385,65230,5,630109,PORT OF SEATTLE,562143
VIN00000067,Mexico,Moscow,41866,2008,CHEVROLET,Model S,PHEV,Eligible,334,138827,1,805392,PORT OF TACOMA,159327
VIN00000068,Brazil,Toronto,16639,2005,NISSAN,Leaf,BEV,Eligible,141,67909,34,916429,PORT OF TACOMA,836753
VIN00000069,Brazil,New York,33851,2009,TESLA,Model X,PHEV,Not Eligible,133,127020,28,368074,PORT OF SEATTLE,536083
VIN00000070,Canada,Berlin,17482,2019,BMW,Camry,PHEV,Not Eligible,296,134230,39,257964,CUSTOMS WAREHOUSE,614419
VIN00000071,Germany,Sydney,16931,2009,BMW,Leaf,PHEV,Eligible,270,130636,49,692218,PORT OF TACOMA,809284
VIN00000072,Australia,Paris,79409,2005,FORD,Model S,PHEV,Not Eligible,385,78937,27,724307,PORT OF SEATTLE,200194
VIN00000073,Germany,New York,57306,2004,BMW,Model S,BEV,Eligible,270,111890,17,998332,PORT OF SEATTLE,794952
VIN00000074,Japan,Paris,69620,2007,TOYOTA,Camry,PHEV,Eligible,368,80540,20,603529,PORT OF SEATTLE,710793
VIN00000075,Germany,New York,61368,2024,TOYOTA,Model X,PHEV,Not Eligible,332,70480,24,912936,PORT OF TACOMA,277226
VIN00000076,India,Toronto,45080,2004,TESLA,Model S,BEV,Not Eligible,171,95681,32,867821,PORT OF TACOMA,129536
VIN00000077,USA,São Paulo,53989,2018,NISSAN,Model X,BEV,Eligible,388,55002,12,369282,PORT OF TACOMA,125220
VIN00000078,China,Moscow,16344,2018,TOYOTA,Model X,PHEV,Eligible,314,117961,14,257815,CUSTOMS WAREHOUSE,367243
VIN00000079,India,Toronto,40667,2018,CHEVROLET,Bolt,PHEV,Not Eligible,288,67319,6,627485,CUSTOMS WAREHOUSE,168533
VIN00000080,USA,Toronto,21628,2016,FORD,Bolt,PHEV,Not Eligible,165,43591,28,887804,PORT OF SEATTLE,172016
VIN00000081,India,New York,68054,2006,BMW,Model X,BEV,Not Eligible,177,137777,12,948071,PORT OF SEATTLE,294450
VIN00000082,Australia,Moscow,65205,2021,BMW,Model S,BEV,Not Eligible,130,111058,22,299937,PORT OF TACOMA,129507
VIN00000083,Mexico,Moscow,75686,2010,CHEVROLET,Mustang,PHEV,Eligible,121,131008,5,421796,PORT OF SEATTLE,198633
VIN00000084,China,Paris,21120,2012,BMW,Camry,PHEV,Eligible,215,73531,16,792218,PORT OF SEATTLE,171874
VIN00000085,Brazil,São Paulo,50332,2021,NISSAN,Model X,BEV,Not Eligible,262,33867,33,613226,PORT OF TACOMA,486131
VIN00000086,Brazil,London,83097,2019,CHEVROLET,Bolt,BEV,Eligible,289,63739,11,405186,CUSTOMS WAREHOUSE,956590
VIN00000087,Australia,Toronto,75924,2018,NISSAN,Model S,PHEV,Eligible,185,52524,31,911147,CUSTOMS WAREHOUSE,149689
VIN00000088,Australia,São Paulo,99183,2002,FORD,Camry,BEV,Not Eligible,53,132889,21,230022,PORT OF TACOMA,157023
VIN00000089,UK,Toronto,23665,2012,TESLA,Model S,PHEV,Not Eligible,359,146553,45,224235,PORT OF SEATTLE,812449
VIN00000090,Germany,Sydney,20691,2015,TOYOTA,Camry,BEV,Not Eligible,354,52528,34,488578,CUSTOMS WAREHOUSE,350505
VIN00000091,UK,Mumbai,33365,2024,TESLA,Camry,PHEV,Eligible,111,126828,8,627538,PORT OF TACOMA,263541
VIN00000092,Mexico,London,68464,2010,TESLA,Mustang,PHEV,Eligible,129,70485,33,873353,PORT OF TACOMA,211825
VIN00000093,China,Berlin,72266,2000,TOYOTA,Leaf,PHEV,Eligible,392,115307,10,876577,CUSTOMS WAREHOUSE,795376
VIN00000094,Germany,New York,21246,2011,BMW,Bolt,PHEV,Eligible,57,144371,8,356545,CUSTOMS WAREHOUSE,158232
VIN00000095,UK,Moscow,53476,2003,NISSAN,Model S,BEV,Not Eligible,119,102899,43,801066,CUSTOMS WAREHOUSE,741995
VIN00000096,France,Moscow,69625,2013,CHEVROLET,Mustang,PHEV,Not Eligible,274,128739,22,192952,PORT OF TACOMA,615644
VIN00000097,Australia,Paris,55358,2011,NISSAN,Leaf,PHEV,Not Eligible,63,71717,39,499698,CUSTOMS WAREHOUSE,889036
VIN00000098,France,Mumbai,55852,2020,BMW,Model X,PHEV,Not Eligible,311,59026,29,249409,PORT OF SEATTLE,946088
VIN00000099,India,Tokyo,95733,2021,TOYOTA,Model X,BEV,Eligible,101,78799,16,675175,PORT OF SEATTLE,587185
VIN00000100,Canada,Sydney,92056,2022,TOYOTA,Model X,BEV,Eligible,335,42925,45,202840,CUSTOMS WAREHOUSE,348237
VIN00000101,Russia,Toronto,69607,2018,TOYOTA,Camry,PHEV,Not Eligible,96,51486,45,621854,PORT OF SEATTLE,673617
VIN00000102,Australia,Sydney,15755,2022,TOYOTA,Leaf,BEV,Eligible,127,129057,37,134362,PORT OF SEATTLE,669002
VIN00000103,Germany,Paris,18045,2012,NISSAN,Leaf,PHEV,Eligible,223,77676,15,443224,PORT OF SEATTLE,275434
VIN00000104,Brazil,Sydney,96043,2011,NISSAN,Bolt,BEV,Not Eligible,298,97407,29,993760,PORT OF TACOMA,266210
VIN00000105,Russia,São Paulo,30942,2010,NISSAN,Camry,BEV,Eligible,62,36296,41,801909,CUSTOMS WAREHOUSE,155526
VIN00000106,Germany,Moscow,22311,2003,TOYOTA,Leaf,BEV,Not Eligible,98,55614,35,622998,PORT OF SEATTLE,204620
VIN00000107,Germany,Tokyo,77735,2015,CHEVROLET,Mustang,BEV,Eligible,251,68743,25,561915,PORT OF TACOMA,624412
VIN00000108,Brazil,Mumbai,40743,2013,FORD,Camry,PHEV,Not Eligible,290,92795,45,356984,CUSTOMS WAREHOUSE,952446
VIN00000109,Mexico,Tokyo,88463,2016,BMW,Model S,BEV,Not Eligible,51,128260,6,164992,PORT OF SEATTLE,282738
VIN00000110,Germany,Tokyo,55865,2000,CHEVROLET,Camry,BEV,Eligible,365,100077,12,555270,PORT OF TACOMA,788497
VIN00000111,UK,São Paulo,76348,2021,TESLA,Leaf,PHEV,Eligible,384,107454,39,255117,CUSTOMS WAREHOUSE,172477
VIN00000112,India,London,23331,2023,FORD,Mustang,PHEV,Eligible,86,41331,18,866974,PORT OF TACOMA,840846
VIN00000113,Japan,London,59053,2016,CHEVROLET,Leaf,BEV,Eligible,273,91039,39,412740,PORT OF SEATTLE,988126
VIN00000114,Russia,Paris,71952,2015,BMW,Model S,BEV,Not Eligible,378,88744,31,400802,CUSTOMS WAREHOUSE,613950
VIN00000115,Japan,New York,92610,2006,FORD,Leaf,BEV,Not Eligible,313,52759,11,668655,PORT OF SEATTLE,837930
VIN00000116,Russia,Tokyo,92579,2016,BMW,Mustang,PHEV,Eligible,57,139360,6,563020,PORT OF SEATTLE,566195
VIN00000117,France,London,46336,2006,NISSAN,Mustang,PHEV,Eligible,325,138591,41,720526,PORT OF TACOMA,550516
VIN00000118,Australia,Moscow,56407,2000,TESLA,Mustang,PHEV,Eligible,155,108691,17,593411,PORT OF SEATTLE,908659
VIN00000119,USA,Paris,31612,2008,TOYOTA,Model S,BEV,Eligible,288,78782,46,338569,CUSTOMS WAREHOUSE,253797
VIN00000120,Brazil,London,57360,2012,BMW,Leaf,BEV,Not Eligible,200,105401,22,579021,CUSTOMS WAREHOUSE,178155
VIN00000121,USA,Paris,70959,2005,BMW,Camry,PHEV,Not Eligible,169,124561,35,281413,CUSTOMS WAREHOUSE,148839
VIN00000122,Russia,Toronto,28601,2023,BMW,Bolt,PHEV,Eligible,360,110273,47,144198,PORT OF TACOMA,918214
VIN00000123,Mexico,Paris,83138,2002,CHEVROLET,Camry,PHEV,Not Eligible,229,52320,44,987297,CUSTOMS WAREHOUSE,110116
VIN00000124,Japan,London,39825,2010,NISSAN,Leaf,BEV,Not Eligible,339,93534,50,618030,CUSTOMS WAREHOUSE,354117
VIN00000125,China,Moscow,13705,2010,TOYOTA,Mustang,BEV,Eligible,200,104618,30,322682,PORT OF TACOMA,794766
VIN00000126,Australia,Mumbai,63170,2014,BMW,Leaf,PHEV,Not Eligible,91,129789,11,192878,PORT OF SEATTLE,286549
VIN00000127,USA,Mumbai,86678,2020,FORD,Leaf,BEV,Eligible,119,89816,48,569439,PORT OF SEATTLE,725997
VIN00000128,Russia,Moscow,80783,2016,FORD,Leaf,BEV,Not Eligible,291,125136,25,636075,PORT OF TACOMA,820160
VIN00000129,Canada,Moscow,68647,2016,TOYOTA,Camry,PHEV,Not Eligible,108,106199,8,816414,PORT OF SEATTLE,455790
VIN00000130,France,São Paulo,29310,2008,NISSAN,Model S,PHEV,Eligible,59,83689,8,975528,PORT OF TACOMA,223748
VIN00000131,Australia,Toronto,98457,2018,FORD,Bolt,BEV,Not Eligible,223,76237,11,190026,PORT OF SEATTLE,750473
VIN00000132,Germany,Mumbai,17258,2022,CHEVROLET,Camry,PHEV,Not Eligible,370,41483,6,719997,PORT OF TACOMA,953369
VIN00000133,Canada,Berlin,23954,2022,TOYOTA,Bolt,PHEV,Not Eligible,133,121971,27,625510,PORT OF SEATTLE,807782
VIN00000134,China,Sydney,81298,2020,CHEVROLET,Leaf,BEV,Eligible,68,67858,30,712796,PORT OF TACOMA,647577
VIN00000135,UK,Paris,91139,2015,TESLA,Leaf,PHEV,Not Eligible,331,119963,17,833531,PORT OF SEATTLE,328254
VIN00000136,France,Sydney,88162,2021,TESLA,Mustang,BEV,Not Eligible,66,123464,18,473055,PORT OF SEATTLE,220085
VIN00000137,Germany,Toronto,91033,2020,CHEVROLET,Mustang,PHEV,Not Eligible,382,121750,38,157996,PORT OF SEATTLE,490075
VIN00000138,China,Tokyo,14976,2000,NISSAN,Model X,PHEV,Not Eligible,306,43674,21,439679,CUSTOMS WAREHOUSE,433781
VIN00000139,Canada,Sydney,26290,2010,FORD,Model S,BEV,Eligible,178,146569,3,237751,CUSTOMS WAREHOUSE,714538
VIN00000140,Germany,New York,18253,2002,FORD,Mustang,PHEV,Not Eligible,217,77574,6,298894,PORT OF SEATTLE,127683
VIN00000141,Japan,Toronto,71011,2019,NISSAN,Model S,BEV,Eligible,102,99770,47,223708,PORT OF SEATTLE,769893
VIN00000142,Russia,Tokyo,94138,2013,TESLA,Model S,BEV,Not Eligible,307,99776,48,285673,CUSTOMS WAREHOUSE,218519
VIN00000143,India,Mumbai,99209,2020,TESLA,Model X,PHEV,Not Eligible,376,33507,19,184468,CUSTOMS WAREHOUSE,782133
VIN00000144,Russia,Tokyo,19569,2008,TESLA,Bolt,BEV,Eligible,323,47291,23,290529,CUSTOMS WAREHOUSE,537918
VIN00000145,Australia,Berlin,48145,2004,TESLA,Leaf,BEV,Eligible,50,133252,14,218774,CUSTOMS WAREHOUSE,247453
VIN00000146,UK,Berlin,14318,2012,BMW,Bolt,BEV,Not Eligible,243,116946,26,264784,PORT OF SEATTLE,539713
VIN00000147,China,Toronto,54905,2009,BMW,Bolt,PHEV,Eligible,317,92360,37,184232,CUSTOMS WAREHOUSE,315933
VIN00000148,India,London,42205,2014,TESLA,Bolt,BEV,Eligible,105,93031,21,866106,PORT OF TACOMA,825654
VIN00000149,India,Toronto,90934,2018,TOYOTA,Model S,PHEV,Eligible,163,121421,18,589224,CUSTOMS WAREHOUSE,454047
VIN00000150,Germany,São Paulo,21313,2023,BMW,Bolt,BEV,Eligible,372,73598,4,975939,PORT OF SEATTLE,976224
VIN00000151,India,Paris,70724,2015,NISSAN,Camry,PHEV,Not Eligible,380,47081,5,833946,PORT OF SEATTLE,264509
VIN00000152,China,Toronto,20157,2022,TOYOTA,Camry,PHEV,Not Eligible,277,121976,28,218618,PORT OF SEATTLE,555093
VIN00000153,Canada,Berlin,56406,2002,FORD,Leaf,BEV,Eligible,175,61392,38,611460,CUSTOMS WAREHOUSE,840018
VIN00000154,Mexico,Tokyo,21709,2016,NISSAN,Leaf,PHEV,Eligible,172,120220,37,944141,PORT OF TACOMA,175305
VIN00000155,Mexico,Sydney,66883,2003,NISSAN,Mustang,PHEV,Not Eligible,218,47413,10,415849,PORT OF TACOMA,876750
VIN00000156,USA,Paris,50383,2014,TOYOTA,Leaf,BEV,Not Eligible,261,43557,28,441434,CUSTOMS WAREHOUSE,804513
VIN00000157,India,Tokyo,40759,2010,NISSAN,Leaf,BEV,Eligible,358,82780,7,833709,PORT OF TACOMA,865330
VIN00000158,Russia,Toronto,44389,2003,TOYOTA,Model S,PHEV,Eligible,274,45777,16,468910,PORT OF TACOMA,762568
VIN00000159,Australia,Berlin,23755,2016,BMW,Mustang,BEV,Not Eligible,216,69243,18,704277,CUSTOMS WAREHOUSE,142610
VIN00000160,Brazil,Moscow,55756,2014,TESLA,Model S,BEV,Eligible,66,123676,46,696627,PORT OF TACOMA,188264
VIN00000161,Japan,Toronto,55498,2003,TOYOTA,Leaf,BEV,Not Eligible,297,89903,18,655779,PORT OF TACOMA,537978
VIN00000162,India,Mumbai,12104,2022,NISSAN,Camry,BEV,Eligible,388,148942,18,617961,PORT OF TACOMA,523228
VIN00000163,Canada,New York,56397,2005,FORD,Model X,BEV,Not Eligible,395,147801,3,681402,CUSTOMS WAREHOUSE,954466
VIN00000164,USA,Moscow,55263,2018,TOYOTA,Camry,PHEV,Not Eligible,152,122823,16,637603,CUSTOMS WAREHOUSE,573964
VIN00000165,Russia,Mumbai,10974,2022,TESLA,Model X,BEV,Not Eligible,369,55110,7,670266,PORT OF SEATTLE,421292
VIN00000166,China,Toronto,99289,2009,CHEVROLET,Model X,PHEV,Not Eligible,363,85721,16,532117,PORT OF SEATTLE,594990
VIN00000167,Australia,Moscow,52286,2024,TESLA,Model X,PHEV,Eligible,191,39828,24,115475,CUSTOMS WAREHOUSE,861075
VIN00000168,Germany,Toronto,86887,2008,CHEVROLET,Bolt,PHEV,Not Eligible,209,62118,34,115538,CUSTOMS WAREHOUSE,328305
VIN00000169,Mexico,New York,80130,2022,NISSAN,Camry,PHEV,Eligible,145,110747,24,302080,PORT OF TACOMA,600499
VIN00000170,Australia,Berlin,13391,2023,TESLA,Camry,PHEV,Not Eligible,170,41512,18,753515,PORT OF SEATTLE,237423
VIN00000171,Japan,Paris,31205,2019,CHEVROLET,Camry,BEV,Eligible,373,88130,45,860876,CUSTOMS WAREHOUSE,236390
VIN00000172,Australia,London,72046,2003,NISSAN,Model X,BEV,Eligible,275,148773,1,486964,CUSTOMS WAREHOUSE,365995
VIN00000173,Brazil,New York,55412,2003,CHEVROLET,Model S,PHEV,Not Eligible,58,128944,42,216354,CUSTOMS WAREHOUSE,858734
VIN00000174,UK,London,46092,2009,TESLA,Mustang,BEV,Not Eligible,114,140557,48,511817,PORT OF SEATTLE,982599
VIN00000175,France,New York,49627,2011,FORD,Mustang,PHEV,Not Eligible,66,68383,38,248981,PORT OF SEATTLE,774156
VIN00000176,Brazil,Sydney,94092,2000,TOYOTA,Bolt,BEV,Not Eligible,54,114882,22,334051,PORT OF TACOMA,467469
VIN00000177,Australia,London,91946,2007,CHEVROLET,Camry,BEV,Eligible,199,113520,44,907684,CUSTOMS WAREHOUSE,547906
VIN00000178,France,Paris,52711,2021,TOYOTA,Model S,PHEV,Not Eligible,220,32750,20,472140,CUSTOMS WAREHOUSE,226596
VIN00000179,Canada,London,15084,2011,FORD,Model X,PHEV,Eligible,314,116134,15,439542,PORT OF SEATTLE,299261
VIN00000180,Russia,Berlin,34600,2004,FORD,Camry,PHEV,Not Eligible,374,32746,1,372483,PORT OF SEATTLE,737668
VIN00000181,Canada,Sydney,42850,2023,NISSAN,Mustang,PHEV,Not Eligible,391,92112,22,376070,CUSTOMS WAREHOUSE,744411
VIN00000182,France,Paris,34293,2005,FORD,Model S,PHEV,Not Eligible,112,98516,15,816225,CUSTOMS WAREHOUSE,955333
VIN00000183,Australia,Sydney,68929,2002,NISSAN,Model X,PHEV,Not Eligible,315,45229,30,739387,CUSTOMS WAREHOUSE,987020
VIN00000184,China,London,68136,2004,TOYOTA,Camry,BEV,Eligible,345,100081,15,726142,PORT OF TACOMA,395716
VIN00000185,Australia,São Paulo,81566,2017,BMW,Model S,BEV,Not Eligible,274,57567,9,116411,PORT OF TACOMA,780165
VIN00000186,India,Tokyo,45912,2023,CHEVROLET,Model S,PHEV,Not Eligible,184,73855,29,202458,PORT OF SEATTLE,273728
VIN00000187,France,Mumbai,21633,2017,FORD,Bolt,BEV,Eligible,118,114534,47,489897,PORT OF TACOMA,734187
VIN00000188,Russia,Paris,87550,2012,BMW,Leaf,PHEV,Eligible,272,59633,47,480087,CUSTOMS WAREHOUSE,415118
VIN00000189,Australia,Berlin,55612,2021,NISSAN,Leaf,BEV,Eligible,214,31291,10,159853,PORT OF TACOMA,211735
VIN00000190,France,Berlin,97484,2013,TOYOTA,Bolt,BEV,Eligible,344,66065,18,249534,CUSTOMS WAREHOUSE,827083
VIN00000191,Canada,Mumbai,98782,2009,CHEVROLET,Model X,BEV,Eligible,84,143129,3,527964,PORT OF SEATTLE,501134
VIN00000192,Japan,São Paulo,41283,2003,NISSAN,Mustang,BEV,Not Eligible,168,91730,42,351652,CUSTOMS WAREHOUSE,992592
VIN00000193,Canada,Berlin,97823,2002,CHEVROLET,Model S,PHEV,Not Eligible,307,139360,40,307394,CUSTOMS WAREHOUSE,686797
VIN00000194,France,Paris,77798,2001,FORD,Bolt,PHEV,Not Eligible,95,93945,23,942787,PORT OF SEATTLE,745938
VIN00000195,Australia,New York,28599,2019,TOYOTA,Model X,PHEV,Not Eligible,130,42524,8,400668,PORT OF SEATTLE,985751
VIN00000196,UK,Tokyo,13507,2020,BMW,Model X,BEV,Not Eligible,208,98580,16,475071,PORT OF SEATTLE,450195
VIN00000197,India,Berlin,27797,2013,CHEVROLET,Model X,PHEV,Not Eligible,378,66266,33,968054,PORT OF SEATTLE,853085
VIN00000198,Brazil,Tokyo,85815,2008,NISSAN,Mustang,PHEV,Eligible,254,55866,44,574700,PORT OF TACOMA,916830
VIN00000199,Mexico,Sydney,64996,2005,TOYOTA,Model X,BEV,Eligible,400,31830,31,264865,PORT OF TACOMA,806600
VIN00000200,USA,Moscow,53144,2012,FORD,Bolt,PHEV,Not Eligible,320,42412,6,932437,PORT OF SEATTLE,354579
VIN00000201,China,Tokyo,85599,2006,CHEVROLET,Bolt,BEV,Not Eligible,177,60479,33,675980,PORT OF TACOMA,790449
VIN00000202,UK,Paris,71648,2005,BMW,Camry,BEV,Eligible,387,77714,48,539163,PORT OF TACOMA,534934
